pm10,pm2_5,carbon_monoxide,carbon_dioxide,sulphur_dioxide,nitrogen_dioxide,ozone,count,pm2_5_val,date
46.75833,moderate,930.4583,476.5320213,7.1375003,25.933334,78.75,440,31.949999,06/03/2024
60.225002,high,836.25,476.5320213,6.191667,17.066668,89.791664,319,40.733334,07/03/2024
45.80417,moderate,619.625,476.5320213,4.5625,11.679166,76.625,531,30.9125,08/03/2024
25.566666,low,549.6667,476.5320213,3.8541667,12.9375,56.333332,145,17.262499,09/03/2024
30.816666,low,709.4167,476.5320213,5.383333,17.525,62.458332,87,20.525,10/03/2024
32.258335,low,477.75,476.5320213,3.9624999,10.833333,70.625,642,21.383333,11/03/2024
24.633333,low,451.54166,476.5320213,3.2666667,10.166667,55.625,375,16.4625,12/03/2024
24.0875,low,569.5,476.5320213,3.8666668,13.474999,60.333332,501,16.366667,13/03/2024
54.225002,moderate,972.7917,476.5320213,7.191667,25.679167,75.041664,272,36.495834,14/03/2024
69.987495,high,998.0417,476.5320213,6.8916664,19.245832,99.333336,463,47.100002,15/03/2024
64.34583,high,786.8333,476.5320213,5.1041665,13.308333,85.708336,168,42.3,16/03/2024
63.925,high,654.875,476.5320213,4.225,14,65.708336,120,40.929165,17/03/2024
51.104168,moderate,700.9167,476.5320213,4.3416667,16.045834,64.583336,685,33.391666,18/03/2024
67.19583,high,662.75,476.5320213,5.9874997,9.804167,116.5,450,44.983334,19/03/2024
37.779167,moderate,690.0417,476.5320213,6.808333,12.729167,74.541664,362,26.254166,20/03/2024
38.029167,moderate,774.4167,476.5320213,5.2000003,17.416666,71.083336,345,26.454168,21/03/2024
26.3125,low,708.5833,476.5320213,4.5499997,15.491666,52.541668,426,17.875,22/03/2024
20.629168,very low,492.125,476.5320213,3.3125,12.483334,55.458332,166,13.870833,23/03/2024
25.737501,low,566.5417,476.5320213,4.5041666,16.016666,59.083332,132,17.116667,24/03/2024
33.779167,low,644.9583,476.5320213,5.4625,17.166666,74.291664,781,22.625,25/03/2024
39.904167,moderate,514.2083,476.5320213,4.5958333,9.104167,78.458336,504,26.699999,26/03/2024
35.545834,low,465.45834,476.5320213,3.9833333,8.925,63.041668,475,23.491667,27/03/2024
30.862501,low,684.0833,476.5320213,5.995833,20.5875,58.916668,309,19.970833,28/03/2024
34.454166,low,520.2083,476.5320213,3.8625,12.7375,68.958336,352,22.129166,29/03/2024
46.808334,moderate,769.3333,476.5320213,6.120833,22.233332,60.291668,111,29.670832,30/03/2024
51.379166,moderate,630.875,476.5320213,5.0750003,13.849999,73.791664,110,31.616667,31/03/2024
48.208332,moderate,669.7917,476.5320213,5.070833,14.662499,71.041664,703,30.0625,01/04/2024
41.808334,moderate,661.4167,476.5320213,4.9583335,13.279167,75.291664,427,26.833334,02/04/2024
62.412502,high,679,476.5320213,4.9375,12.849999,79.416664,387,39.345833,03/04/2024
44.575,moderate,717.7083,476.5320213,5.5125003,16.391666,74.875,319,28.574999,04/04/2024
