tempF,humidity,pm10,pm2_5_categories,carbon_monoxide,carbon_dioxide,sulphur_dioxide,nitrogen_dioxide,ozone,count,date,pm2_5
62.33,63,63.729168,high,1676.875,476.5320213,3.1083333,30.370834,92.291664,25,17/03/2023,44.3
62.31,57,55.462498,high,1316,476.5320213,2.7291667,21.216667,71.5,20,18/03/2023,38.579166
62.6,64,52.033337,moderate,1228.2084,476.5320213,2.6333334,21.283335,77.916664,22,19/03/2023,36.183334
62.82,60,42.825,moderate,1354.7916,476.5320213,2.6625001,17.820833,61.625,23,20/03/2023,29.5875
62.91,61,38.554165,moderate,1574.0416,476.5320213,3.425,23.304167,48.666668,31,21/03/2023,26.608332
61.14,71,27.154167,low,1246.0834,476.5320213,3.0125,21.804167,54.916668,30,22/03/2023,18.725
61.18,54,28.370834,low,1115.125,476.5320213,3.1791668,23.454168,63.666668,21,23/03/2023,19.470833
60.48,59,30.416666,low,1387.7084,476.5320213,3.075,23.370834,61.458332,19,24/03/2023,20.916666
61.02,61,43.75833,moderate,1555.9584,476.5320213,3.575,27.824999,72.458336,28,25/03/2023,30.204168
63.36,65,40.454166,moderate,1200.5,476.5320213,2.8708334,25.233332,75.75,23,26/03/2023,27.941666
63.05,66,45.8625,moderate,1512.25,476.5320213,3.6708333,29.033333,82.333336,31,27/03/2023,31.7125
61.57,53,53.354168,moderate,761.8333,476.5320213,3.8416665,10.866666,98.416664,28,28/03/2023,37.037502
62.1,49,86.270836,high,757.2917,476.5320213,4.875,10.525001,82.916664,34,29/03/2023,60.0125
61.97,43,90.65833,high,735.125,476.5320213,4.991667,8.841666,97.458336,28,30/03/2023,62.9875
62.64,56,67.895836,high,600.2083,476.5320213,4.1916666,6.1124997,97.583336,24,31/03/2023,46.95
64.94,51,67.166664,high,648.125,476.5320213,4.2875,5.6583333,116.291664,19,01/04/2023,46.475002
63.28,72,39.829166,moderate,454.41666,476.5320213,3.4375,5.6458335,83.791664,22,02/04/2023,27.441666
61.38,49,35.158333,low,436.41666,476.5320213,3.4583333,5.491667,72.333336,35,03/04/2023,24.0625
61.36,56,40.179165,moderate,470.5,476.5320213,3.7749999,5.233333,88.958336,25,04/04/2023,27.520834
60.08,46,56.337498,high,581.875,476.5320213,3.966667,5.8416667,98.5,27,05/04/2023,38.912502
63.73,44,68.512505,high,709.7917,476.5320213,4.7083335,6.1541667,109.458336,28,06/04/2023,47.57083
66.54,48,75.39167,high,748.7083,476.5320213,4.9333334,6.5375,107.583336,27,07/04/2023,52.30417
66.9,40,62.462498,high,679.5833,476.5320213,4.4791665,5.7708335,106.125,13,08/04/2023,43.129166
67.05,36,50.254166,moderate,624.5417,476.5320213,4.241667,5.5375,102.083336,25,09/04/2023,34.579166
67.73,51,40.983334,moderate,529.7917,476.5320213,3.8083334,4.8125,94.833336,25,10/04/2023,28.245834
66.02,39,53.0125,moderate,638.375,476.5320213,4.6541667,5.7666664,100.166664,20,11/04/2023,36.716667
66.83,49,68.762505,high,712.6667,476.5320213,4.55,4.304167,115.166664,25,12/04/2023,47.825
67.86,57,51.208332,moderate,583.7917,476.5320213,3.7708333,3.4166667,104.166664,13,13/04/2023,35.408333
67.6,56,43.45,moderate,1048.5,476.5320213,4.1208334,20.762499,88.416664,30,14/04/2023,30.054167
65.98,40,61.720837,high,720.0833,476.5320213,5.1458335,6.7125,98.666664,28,15/04/2023,42.879166
67.96,36,53.645832,moderate,592.2083,476.5320213,4.2166667,5.1625,87.916664,24,16/04/2023,37.025
67.78,53,47.016666,moderate,516.5,476.5320213,3.5041666,4.545833,94.666664,26,17/04/2023,32.412502
64.81,47,46.575,moderate,629.375,476.5320213,3.6416667,6.2125,104.833336,19,18/04/2023,32.204166
68.27,53,51.545834,moderate,510.79166,476.5320213,4.0333333,3.9666665,100.208336,23,19/04/2023,35.670834
67.28,70,52.274998,moderate,491.20834,476.5320213,3.1416667,3.8999999,92.875,14,20/04/2023,35.991665
65.08,78,50.958332,moderate,448.16666,476.5320213,3.5833333,4.7374997,85.166664,31,21/04/2023,34.866665
66.09,69,58.254166,high,445.75,476.5320213,3.3791666,4.7208333,82.5,19,22/04/2023,39.8875
63.72,72,46.100002,moderate,455.95834,476.5320213,2.9166667,5.3125,72.791664,21,23/04/2023,31.3375
67.28,57,48.75833,moderate,1042.875,476.5320213,3.2375,23.016668,60.833332,24,24/04/2023,33.029167
69.42,44,43.295834,moderate,1271.6666,476.5320213,2.8166666,23.804167,61.125,27,25/04/2023,29.341667
69.66,41,43.541668,moderate,779.7917,476.5320213,2.2666667,12.5,68.291664,25,26/04/2023,29.966667
66.61,62,46.583332,moderate,915.25,476.5320213,2.2749999,17.020834,64.208336,25,27/04/2023,32.295834
65.3,62,30.35,low,720.7917,476.5320213,2.1666667,14.170834,68.333336,26,28/04/2023,20.6
69.8,43,29.65,low,667.125,476.5320213,2.1541667,13.400001,70.083336,21,29/04/2023,20.204166
70.72,47,39.4875,moderate,486.79166,476.5320213,3.9875,4.204167,93.5,16,30/04/2023,27.120834
69.04,63,38.533333,moderate,552.4167,476.5320213,3.2124999,5.045833,92.208336,34,01/05/2023,26.737501
68.27,65,33.091667,low,520.25,476.5320213,2.5,6.2125,73.125,23,02/05/2023,22.862501
68.43,63,41.149998,moderate,475.33334,476.5320213,3.2375,5.8916664,64.083336,27,03/05/2023,28.358332
68.36,61,34.058334,low,434.45834,476.5320213,2.7625,4.875,62.458332,22,04/05/2023,23.433334
69.28,55,30.558334,low,432.58334,476.5320213,2.5583334,4.9249997,60.166668,22,05/05/2023,20.845833
70.79,50,21.170834,very low,380.5,476.5320213,2.3208334,5.233333,51.291668,17,06/05/2023,14.458333
72.99,49,25.870834,low,390.5,476.5320213,2.7583332,5.4874997,48.625,17,07/05/2023,17.791666
72.68,53,31.820833,low,385.58334,476.5320213,2.1833334,3.8791666,80.25,24,08/05/2023,21.945833
68.63,72,31.758333,low,412.25,476.5320213,2.7291667,4.9625,70.916664,31,09/05/2023,21.8125
66.47,71,24.645834,low,371.875,476.5320213,2.1499999,4.4958334,67.416664,21,10/05/2023,16.929167
66.72,70,24.866667,low,820.9167,476.5320213,1.9083333,18.020834,63.541668,23,11/05/2023,17.324999
66.24,77,20.85,very low,670,476.5320213,1.3666667,11.358334,81.125,20,12/05/2023,14.554166
64.85,79,12.304166,very low,454.41666,476.5320213,1.6958333,11.229167,41.791668,15,13/05/2023,8.558333
64.53,79,16.391666,very low,367.08334,476.5320213,1.0416666,8.183333,52.833332,22,14/05/2023,10.962501
64.8,69,21.891668,low,981.75,476.5320213,1.9916667,19.795834,57.208332,20,15/05/2023,15.141666
65.5,69,29.441666,low,1114.9584,476.5320213,2.5166667,20.237501,66.291664,18,16/05/2023,19.7875
