tempF,humidity,pm10,pm2_5,carbon_monoxide,carbon_dioxide,sulphur_dioxide,nitrogen_dioxide,ozone,count,pm2_5_val,date
66.09,69,58.254166,high,445.75,476.5320213,3.3791666,4.7208333,82.5,70,39.8875,2023/04/22
63.72,72,46.100002,moderate,455.95834,476.5320213,2.9166667,5.3125,72.791664,58,31.3375,2023/04/23
67.28,57,48.75833,moderate,1042.875,476.5320213,3.2375,23.016668,60.833332,293,33.029167,2023/04/24
69.42,44,43.295834,moderate,1271.6666,476.5320213,2.8166666,23.804167,61.125,288,29.341667,2023/04/25
69.66,41,43.541668,moderate,779.7917,476.5320213,2.2666667,12.5,68.291664,217,29.966667,2023/04/26
66.61,62,46.583332,moderate,915.25,476.5320213,2.2749999,17.020834,64.208336,143,32.295834,2023/04/27
65.3,62,30.35,low,720.7917,476.5320213,2.1666667,14.170834,68.333336,177,20.6,2023/04/28
69.8,43,29.65,low,667.125,476.5320213,2.1541667,13.400001,70.083336,62,20.204166,2023/04/29
70.72,47,39.4875,moderate,486.79166,476.5320213,3.9875,4.204167,93.5,47,27.120834,2023/04/30
69.04,63,38.533333,moderate,552.4167,476.5320213,3.2124999,5.045833,92.208336,241,26.737501,2023/05/01
68.27,65,33.091667,low,520.25,476.5320213,2.5,6.2125,73.125,277,22.862501,2023/05/02
68.43,63,41.149998,moderate,475.33334,476.5320213,3.2375,5.8916664,64.083336,231,28.358332,2023/05/03
68.36,61,34.058334,low,434.45834,476.5320213,2.7625,4.875,62.458332,77,23.433334,2023/05/04
69.28,55,30.558334,low,432.58334,476.5320213,2.5583334,4.9249997,60.166668,69,20.845833,2023/05/05
70.79,50,21.170834,very low,380.5,476.5320213,2.3208334,5.233333,51.291668,53,14.458333,2023/05/06
72.99,49,25.870834,low,390.5,476.5320213,2.7583332,5.4874997,48.625,39,17.791666,2023/05/07
72.68,53,31.820833,low,385.58334,476.5320213,2.1833334,3.8791666,80.25,246,21.945833,2023/05/08
68.63,72,31.758333,low,412.25,476.5320213,2.7291667,4.9625,70.916664,277,21.8125,2023/05/09
66.47,71,24.645834,low,371.875,476.5320213,2.1499999,4.4958334,67.416664,195,16.929167,2023/05/10
66.72,70,24.866667,low,820.9167,476.5320213,1.9083333,18.020834,63.541668,130,17.324999,2023/05/11
66.24,77,20.85,very low,670,476.5320213,1.3666667,11.358334,81.125,157,14.554166,2023/05/12
64.85,79,12.304166,very low,454.41666,476.5320213,1.6958333,11.229167,41.791668,48,8.558333,2023/05/13
64.53,79,16.391666,very low,367.08334,476.5320213,1.0416666,8.183333,52.833332,58,10.962501,2023/05/14
64.8,69,21.891668,low,981.75,476.5320213,1.9916667,19.795834,57.208332,221,15.141666,2023/05/15
65.5,69,29.441666,low,1114.9584,476.5320213,2.5166667,20.237501,66.291664,280,19.7875,2023/05/16
65.68,68,33.791668,low,1314.6666,476.5320213,3.0083332,25.5625,68.666664,56,22.758333,2023/05/17
66.02,66,35.258335,low,1167.1666,476.5320213,2.8708334,23.154167,64.958336,159,23.641668,2023/05/18
66.81,65,35.204166,low,1173.4166,476.5320213,3.1375,22.291666,66.041664,143,23.779167,2023/05/19
67.03,66,27.845833,low,957.2917,476.5320213,2.2708333,20.358334,64.333336,47,18.433332,2023/05/20
67.44,67,32.162502,low,955.2083,476.5320213,2.1583333,19.341667,64.25,41,21.420832,2023/05/21
69.08,64,26.262499,low,534.9583,476.5320213,1.2666667,10.279166,74.625,260,17.616667,2023/05/22
68.94,67,29.970833,low,604.5417,476.5320213,1.5916667,12.133334,69.708336,256,20.466667,2023/05/23
66.27,76,27.591667,low,730.125,476.5320213,1.9666667,16.208334,62.833332,252,18.820833,2023/05/24
61.83,86,31.141665,low,704.1667,476.5320213,2.0958333,15.25,72.583336,127,20.883333,2023/05/25
68.18,67,24.895834,low,614.5,476.5320213,1.4125,13.75,61.75,186,16.675001,2023/05/26
69.17,62,28.779167,low,712.0417,476.5320213,1.6125001,16.116667,63.041668,50,19.449999,2023/05/27
69.33,62,31.395834,low,734.8333,476.5320213,2.4125001,15.804166,79.125,55,21.383333,2023/05/28
67.08,73,47.379166,moderate,1096.1666,476.5320213,4.9375,22.045832,86.291664,233,32.745834,2023/05/29
68,68,32.225002,low,920.2917,476.5320213,4.6666665,17.933332,92.75,284,22.304167,2023/05/30
66.87,74,21.454168,very low,587.8333,476.5320213,1.6999999,10.875,73,193,14.8625,2023/05/31
67.39,76,16.329166,very low,606.4167,476.5320213,1.5041666,13.291667,65.875,84,11.391666,2023/06/01
67.93,71,19.579166,very low,833.9167,476.5320213,1.7416667,14.8,61.583332,160,13.625,2023/06/02
67.82,68,22.85,low,1010.125,476.5320213,1.8833333,14.716667,54.208332,43,15.770833,2023/06/03
68,69,17.008333,very low,550.9583,476.5320213,1.3458333,12.837501,53,33,11.729167,2023/06/04
66.06,78,20.004168,very low,617.8333,476.5320213,1.5541667,14.116666,54.208332,71,13.854167,2023/06/05
66.6,77,21.737501,low,643.2917,476.5320213,1.6750001,15.329166,62.166668,250,15.0625,2023/06/06
66.65,79,20.583334,very low,680.7917,476.5320213,1.8625001,16.699999,55.916668,188,14.295834,2023/06/07
65.16,81,20.3125,very low,847.125,476.5320213,1.7458334,19.766666,51.25,141,14.208333,2023/06/08
66.24,77,20.829166,very low,869.625,476.5320213,1.7916666,18.220833,59.125,136,14.5125,2023/06/09
65.97,74,29.716667,low,1225.4166,476.5320213,2.1791666,24.041666,62.625,54,20.679167,2023/06/10
67.96,70,22.512499,low,1010.0833,476.5320213,2.3458333,22.387499,57.166668,43,15.695834,2023/06/11
