"pm10,pm2_5,carbon_monoxide,carbon_dioxide,sulphur_dioxide,nitrogen_dioxide,ozone,count,pm2_5_val,date"
"33.791668,low,1314.6666,476.53202125,3.0083332,25.5625,68.666664,84.0,22.758333,2023-05-17"
"35.258335,low,1167.1666,476.53202125,2.8708334,23.154167,64.958336,344.0,23.641668,2023-05-18"
"35.204166,low,1173.4166,476.53202125,3.1375,22.291666,66.041664,347.0,23.779167,2023-05-19"
"27.845833,low,957.2917,476.53202125,2.2708333,20.358334,64.333336,132.0,18.433332,2023-05-20"
"32.162502,low,955.2083,476.53202125,2.1583333,19.341667,64.25,84.0,21.420832,2023-05-21"
"26.262499,low,534.9583,476.53202125,1.2666667,10.279166,74.625,707.0,17.616667,2023-05-22"
"29.970833,low,604.5417,476.53202125,1.5916667,12.133334,69.708336,444.0,20.466667,2023-05-23"
"27.591667,low,730.125,476.53202125,1.9666667,16.208334,62.833332,481.0,18.820833,2023-05-24"
"31.141664999999996,low,704.1667,476.53202125,2.0958333,15.25,72.583336,285.0,20.883333,2023-05-25"
"24.895834,low,614.5,476.53202125,1.4125,13.75,61.75,401.0,16.675001,2023-05-26"
"28.779167000000005,low,712.0417,476.53202125,1.6125001,16.116667,63.041668,153.0,19.449999,2023-05-27"
"31.395834,low,734.8333,476.53202125,2.4125001,15.804166,79.125,110.0,21.383333,2023-05-28"
"47.379166,moderate,1096.1666,476.53202125,4.9375,22.045832,86.291664,584.0,32.745834,2023-05-29"
"32.225002,low,920.2917,476.53202125,4.6666665,17.933332,92.75,502.0,22.304167,2023-05-30"
"21.454168,very low,587.8333,476.53202125,1.6999999,10.875,73.0,375.0,14.8625,2023-05-31"
"16.329166,very low,606.4167,476.53202125,1.5041666,13.291667,65.875,188.0,11.391666,2023-06-01"
"19.579166,very low,833.9167,476.53202125,1.7416667,14.8,61.583332,398.0,13.625,2023-06-02"
"22.85,low,1010.125,476.53202125,1.8833333000000003,14.716667,54.208332,171.0,15.770833,2023-06-03"
"17.008333,very low,550.9583,476.53202125,1.3458333,12.837501,53.0,72.0,11.729167,2023-06-04"
"20.004168,very low,617.8333,476.53202125,1.5541667,14.116666,54.208332,131.0,13.854167,2023-06-05"
"21.737501,low,643.2917,476.53202125,1.6750001,15.329165999999999,62.166668,445.0,15.0625,2023-06-06"
"20.583334,very low,680.7917,476.53202125,1.8625001,16.699999,55.91666800000001,327.0,14.295833999999997,2023-06-07"
"20.3125,very low,847.125,476.53202125,1.7458333999999998,19.766666,51.25,306.0,14.208333,2023-06-08"
"20.829166,very low,869.625,476.53202125,1.7916666,18.220833,59.125,314.0,14.512500000000001,2023-06-09"
"29.716667,low,1225.4166,476.53202125,2.1791666,24.041666,62.625,151.0,20.679167,2023-06-10"
"22.512499,low,1010.0833000000001,476.53202125,2.3458333,22.387499,57.166668,87.0,15.695834,2023-06-11"
"20.566668,very low,775.4167,476.53202125,1.6833333999999998,16.958334,64.916664,672.0,14.279167,2023-06-12"
"11.145833,very low,471.54166,476.53202125,0.8458332999999999,12.075,49.416668,438.0,7.808332999999999,2023-06-13"
"13.075,very low,631.6667,476.53202125,1.25,15.104167,49.041668,438.0,9.150001,2023-06-14"
"20.1,very low,935.2083,476.53202125,2.0291667,19.745832,55.666668,246.0,14.070834,2023-06-15"
"20.870832,very low,951.75,476.53202125,2.0375001,17.045834,52.166668,396.0,14.429166,2023-06-16"
"16.945833,very low,818.125,476.53202125,1.9624999999999997,15.9375,44.875,164.0,11.666667,2023-06-17"
"17.104166,very low,766.9583,476.53202125,1.7749999999999997,15.1875,53.166668,77.0,11.891666,2023-06-18"
"17.008333,very low,834.375,476.53202125,1.8833332999999999,14.541667000000002,43.791668,577.0,11.820834,2023-06-19"
"13.933333,very low,535.1667,476.53202125,1.6333333,12.2375,47.291668,541.0,9.729167,2023-06-20"
"15.733334000000001,very low,958.7083,476.53202125,2.4041667,15.016665999999999,37.958332,447.0,10.962501,2023-06-21"
"15.570834,very low,956.0417,476.53202125,2.5,15.170834,40.0,220.0,10.891666,2023-06-22"
"13.950000000000001,very low,748.5,476.53202125,1.8874999000000001,11.591667,33.083332,359.0,9.758333,2023-06-23"
"16.954166,very low,1014.125,476.53202125,2.2166667,14.091667,34.708332,101.0,11.866666000000002,2023-06-24"
"16.745832,very low,703.4167,476.53202125,2.1499999,18.6875,35.125,79.0,11.741666,2023-06-25"
"17.783333,very low,835.9167,476.53202125,1.6500000000000001,23.762499,37.416668,708.0,12.470833,2023-06-26"
"17.716667,very low,458.875,476.53202125,2.8374999,12.595833,40.5,453.0,12.616666,2023-06-27"
"16.574999,very low,390.41666000000004,476.53202125,3.2791665,11.849999,37.958332,345.0,11.775001,2023-06-28"
